USER_ID,USER_STATE,USER_DISTRICT,FOLLOWED_CROP_LIST,FOLLOWED_TOPIC_LIST
1ff11631-499f-4213-bcde-c81eb06cb1d1,उत्तर प्रदेश,Basti,"[
  ""Rijka"",
  ""potato"",
  ""Garlic"",
  ""Barbati"",
  ""Wheat"",
  ""Castor"",
  ""Satavar"",
  ""Sunflower"",
  ""Paan"",
  ""Gooseberry"",
  ""Tinda"",
  ""Lemon"",
  ""Gwar"",
  ""brockely"",
  ""Papaya"",
  ""Sweet Potato"",
  ""beans"",
  ""Rajnigandha"",
  ""black gram"",
  ""coffee"",
  ""Lobia"",
  ""Pineapple"",
  ""paddy (rice)"",
  ""Gladiolus"",
  ""फ्लैक्स सीड Linseed [Flax seed]"",
  ""chilli"",
  ""lemongrass"",
  ""Mustard"",
  ""Karela"",
  ""carom"",
  ""Pea"",
  ""Maize"",
  ""Til"",
  ""Masoor Dal"",
  ""Orange"",
  ""Straberi"",
  ""Fennel"",
  ""Ajola"",
  ""Merigold"",
  ""Capsicum"",
  ""Grapes"",
  ""Mint"",
  ""jack fruit"",
  ""Kalonji"",
  ""Safed Musli"",
  ""Turmeric"",
  ""toor daal"",
  ""Barseem"",
  ""Plantago ovata"",
  ""Anaar"",
  ""tomato"",
  ""water melon"",
  ""Litchi"",
  ""Apple"",
  ""Guava"",
  ""cabbage"",
  ""Fig"",
  ""Banana"",
  ""Maithi"",
  ""cumin"",
  ""brinjal"",
  ""Moringa"",
  ""Oat"",
  ""Alovera"",
  ""Fava Bean"",
  ""Cucumber"",
  ""Parval"",
  ""Rose"",
  ""cauliflower"",
  ""Saffron"",
  ""Radish"",
  ""lady finger (okra)"",
  ""sugar beets"",
  ""onion"",
  ""Barley"",
  ""Tulsi"",
  ""mango"",
  ""Tobacco"",
  ""Kivi"",
  ""peanut"",
  ""Mushroom"",
  ""Gram"",
  ""carrot"",
  ""Sugarcane"",
  ""soyabean"",
  ""cotton"",
  ""bottle gourd"",
  ""Stevia"",
  ""moong"",
  ""Opium"",
  ""Turnip"",
  ""Ber"",
  ""muskmelon"",
  ""Beans"",
  ""Arbi"",
  ""Kidney Bins"",
  ""Coriander"",
  ""ridge gourd"",
  ""sorghum"",
  ""Millet"",
  ""Ginger"",
  ""Pumpkin"",
  ""Spinach""
]","[
  ""Bee Keeping"",
  ""subsidy""
]"
1ff90768-5f89-4c20-921b-0f57f0b56068,छत्तीसगढ़,रायपुर,"[
  ""paddy (rice)""
]","[
  ""Mandi Rates""
]"
20020a00-b085-4c5d-b6bd-e606d0fe096b,राजस्थान,Tonk,"[
  ""Coriander"",
  ""cauliflower"",
  ""lady finger (okra)"",
  ""brinjal"",
  ""Rajnigandha"",
  ""Apple"",
  ""Beans"",
  ""Pineapple"",
  ""Tobacco"",
  ""Gladiolus"",
  ""Rijka"",
  ""jack fruit"",
  ""Cucumber"",
  ""toor daal"",
  ""Mustard"",
  ""beans"",
  ""Armenian cucumber"",
  ""Castor"",
  ""Papaya"",
  ""bottle gourd"",
  ""cumin"",
  ""Karela"",
  ""Lobia"",
  ""coffee"",
  ""Tinda"",
  ""Rose"",
  ""lemongrass"",
  ""Til"",
  ""Ber"",
  ""soyabean"",
  ""Teak"",
  ""Fava Bean"",
  ""Sugarcane"",
  ""Banana"",
  ""Jimikand"",
  ""potato"",
  ""Paan"",
  ""Mushroom"",
  ""chilli"",
  ""Maithi"",
  ""Stevia"",
  ""Guava"",
  ""Mint"",
  ""Millet"",
  ""Barbati"",
  ""water melon"",
  ""moong"",
  ""Fennel"",
  ""Wheat"",
  ""Barley"",
  ""Sunflower"",
  ""Orange"",
  ""Barseem"",
  ""sugar beets"",
  ""Arbi"",
  ""Turnip"",
  ""Garlic"",
  ""carrot"",
  ""Anaar"",
  ""Ajola"",
  ""Saffron"",
  ""Kivi"",
  ""carom"",
  ""फ्लैक्स सीड Linseed [Flax seed]"",
  ""Popular"",
  ""Capsicum"",
  ""cotton"",
  ""Moringa"",
  ""Straberi"",
  ""Gwar"",
  ""Parval"",
  ""Alovera"",
  ""mango"",
  ""sorghum"",
  ""Masoor Dal"",
  ""Turmeric"",
  ""onion"",
  ""Fig"",
  ""Pea"",
  ""Merigold"",
  ""black gram"",
  ""Kalonji"",
  ""Grapes"",
  ""Plantago ovata"",
  ""paddy (rice)"",
  ""tomato"",
  ""peanut"",
  ""Satavar"",
  ""cabbage"",
  ""Gram"",
  ""Mustard"",
  ""Opium"",
  ""Ginger"",
  ""muskmelon"",
  ""Spinach"",
  ""Litchi"",
  ""Maize"",
  ""Gooseberry"",
  ""Pumpkin"",
  ""brockely"",
  ""Tulsi"",
  ""Radish"",
  ""Safed Musli"",
  ""ridge gourd"",
  ""Lemon"",
  ""Sweet Potato"",
  ""Oat"",
  ""Kidney Bins""
]","[
  ""animal protection"",
  ""seeds"",
  ""Hydroponic"",
  ""dairy farming"",
  ""Tractor"",
  ""Disease"",
  ""lockdown"",
  ""animal husbandry"",
  ""Success Story"",
  ""New Farming Techniques"",
  ""Agriculture News"",
  ""Poly House"",
  ""Piggery"",
  ""Fertilizer"",
  ""Mandi Rates"",
  ""Drip Irrigation"",
  ""subsidy"",
  ""Organic Fertilizer"",
  ""Krishify"",
  ""buy-sell"",
  ""Today Tips"",
  ""subsidy on seed"",
  ""horticulture"",
  ""Crop Storage"",
  ""Fasal Protection"",
  ""Weather Report"",
  ""farm machinery"",
  ""irrigation"",
  ""poultry farming"",
  ""Government Schemes"",
  ""Animal Feed"",
  ""fish farming"",
  ""quiz"",
  ""weed management"",
  ""Agro Chemical"",
  ""goat farming"",
  ""discussion"",
  ""Bee Keeping"",
  ""Organic Farming""
]"
2007ce7e-acde-4ce5-99ff-d7df2f39dcaf,उत्तर प्रदेश,मिर्ज़ापुर,"[
  ""tomato"",
  ""Pea"",
  ""Pumpkin""
]","[
  ""buy-sell""
]"
200966ab-d493-4afa-b796-8eca9f19d1f0,मध्य प्रदेश,रीवा,"[
  ""Barley""
]","[
  ""farm machinery""
]"
200a7975-919f-424e-88fe-4b021df58f83,हिमाचल प्रदेश,मंडी,"[
  ""Mustard"",
  ""cauliflower"",
  ""potato"",
  ""Merigold"",
  ""sorghum"",
  ""Coriander"",
  ""cabbage"",
  ""Barley"",
  ""Grapes"",
  ""Sugarcane"",
  ""Arbi"",
  ""Rose"",
  ""Cucumber"",
  ""Mushroom"",
  ""Lemon"",
  ""Spinach"",
  ""brockely"",
  ""Radish"",
  ""Karela"",
  ""Maize"",
  ""Safed Musli"",
  ""soyabean"",
  ""Anaar"",
  ""Alovera"",
  ""Teak"",
  ""Pumpkin"",
  ""Til"",
  ""Tobacco"",
  ""Turmeric"",
  ""Armenian cucumber"",
  ""Ginger"",
  ""Oat"",
  ""Garlic"",
  ""Kidney Bins"",
  ""carom"",
  ""black gram"",
  ""Masoor Dal"",
  ""onion"",
  ""Maithi"",
  ""Capsicum"",
  ""Pea"",
  ""tomato"",
  ""Fennel"",
  ""Wheat"",
  ""brinjal"",
  ""Apple"",
  ""chilli"",
  ""Saffron"",
  ""Sunflower"",
  ""carrot"",
  ""Kivi"",
  ""moong"",
  ""Gram""
]","[
  ""Organic Fertilizer"",
  ""dairy farming"",
  ""Bee Keeping"",
  ""Success Story"",
  ""Poly House"",
  ""fish farming"",
  ""Crop Storage"",
  ""Government Schemes"",
  ""seeds"",
  ""discussion"",
  ""weed management"",
  ""horticulture"",
  ""Today Tips"",
  ""animal protection"",
  ""Agro Chemical"",
  ""poultry farming"",
  ""Tractor"",
  ""animal husbandry"",
  ""Animal Feed"",
  ""farm machinery"",
  ""Hydroponic"",
  ""Drip Irrigation"",
  ""Fertilizer"",
  ""subsidy on seed"",
  ""goat farming"",
  ""Fasal Protection"",
  ""Weather Report"",
  ""Disease"",
  ""buy-sell"",
  ""Mandi Rates"",
  ""irrigation"",
  ""Krishify"",
  ""Organic Farming"",
  ""subsidy"",
  ""New Farming Techniques"",
  ""quiz"",
  ""Agriculture News""
]"
1ff7b5aa-c72f-4637-bd8f-3677040a8b8c,मध्य प्रदेश,बैतूल,"[
  ""cabbage"",
  ""Pea"",
  ""chilli"",
  ""tomato"",
  ""Wheat""
]",
20133f91-838b-40bd-9e48-ab9dcdbcb7d2,मध्य प्रदेश,Indore Tahsil,"[
  ""Paan"",
  ""Garlic"",
  ""Maize"",
  ""onion"",
  ""lady finger (okra)"",
  ""Orange"",
  ""Wheat"",
  ""Maithi"",
  ""Safed Musli"",
  ""soyabean"",
  ""Moringa""
]",
20191d7b-3d37-4ec1-a10e-e21aa9c1cc27,मध्य प्रदेश,Singrauli,"[
  ""Mushroom"",
  ""Winter Cherry"",
  ""carom"",
  ""Ginger"",
  ""cabbage"",
  ""Moringa"",
  ""water melon"",
  ""Anaar"",
  ""cumin"",
  ""lemongrass"",
  ""Apple"",
  ""Barley"",
  ""mango"",
  ""Banana"",
  ""Alovera"",
  ""Cucumber"",
  ""cauliflower"",
  ""Barbati"",
  ""muskmelon"",
  ""cotton"",
  ""onion"",
  ""moong"",
  ""Capsicum"",
  ""Lemon"",
  ""Saffron"",
  ""Pumpkin"",
  ""Millet"",
  ""Stevia"",
  ""Karela"",
  ""ridge gourd"",
  ""black gram"",
  ""Wheat"",
  ""jack fruit"",
  ""bottle gourd"",
  ""peanut"",
  ""Mustard"",
  ""carrot"",
  ""Popular"",
  ""paddy (rice)"",
  ""Gram"",
  ""brockely"",
  ""Turnip"",
  ""Sweet Corn"",
  ""Fig"",
  ""sorghum"",
  ""Spinach"",
  ""Sunflower"",
  ""Kivi"",
  ""Fennel"",
  ""Fava Bean"",
  ""Safed Musli"",
  ""Masoor Dal"",
  ""Pea"",
  ""Parval"",
  ""Rose"",
  ""Guava"",
  ""toor daal"",
  ""Orange"",
  ""Jimikand"",
  ""Gooseberry"",
  ""Kidney Bins"",
  ""Pineapple"",
  ""Castor"",
  ""Sweet Potato"",
  ""Moth"",
  ""Papaya"",
  ""coffee"",
  ""Mustard"",
  ""Tobacco"",
  ""Paan"",
  ""Merigold"",
  ""Sugarcane"",
  ""chilli"",
  ""Beans"",
  ""Lobia"",
  ""Litchi"",
  ""Plantago ovata"",
  ""Straberi"",
  ""Radish"",
  ""tomato"",
  ""Mint"",
  ""soyabean"",
  ""Tinda"",
  ""Maithi"",
  ""potato"",
  ""Kalonji"",
  ""Teak"",
  ""Ajola"",
  ""Rijka"",
  ""brinjal"",
  ""Barseem"",
  ""beans"",
  ""Grapes"",
  ""Satavar"",
  ""Turmeric"",
  ""Armenian cucumber"",
  ""Rajnigandha"",
  ""Coriander"",
  ""Oat"",
  ""lady finger (okra)"",
  ""sugar beets"",
  ""Garlic"",
  ""Gwar"",
  ""Tulsi"",
  ""Arbi"",
  ""Gladiolus"",
  ""Opium"",
  ""Til"",
  ""फ्लैक्स सीड Linseed [Flax seed]"",
  ""Maize"",
  ""Ber""
]",
201b0e67-eae3-4f0e-8e0f-d3bffbf14149,राजस्थान,अजमेर,"[
  ""sorghum"",
  ""Opium"",
  ""Kalonji"",
  ""Ginger"",
  ""lady finger (okra)""
]","[
  ""weed management"",
  ""Krishify"",
  ""animal husbandry"",
  ""dairy farming"",
  ""Mandi Rates"",
  ""Agriculture News"",
  ""Fertilizer"",
  ""subsidy on seed"",
  ""New Farming Techniques"",
  ""Government Schemes"",
  ""Organic Fertilizer"",
  ""Today Tips"",
  ""irrigation""
]"
